City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,El Rosario,MX,24.2556,-107.1828,66.4,49,63,6.04,broken clouds
318,Pochutla,MX,15.7432,-96.4661,77.85,81,3,3.42,clear sky
319,Floriano,BR,-6.7669,-43.0225,74.39,83,18,1.63,few clouds
320,Corowa,AU,-36.0333,146.3833,90.57,38,0,7.14,clear sky
321,Kerman,IR,30.2832,57.0788,40.86,42,0,6.91,clear sky
322,Telimele,GN,10.9167,-13.3333,65.89,78,7,1.01,clear sky
323,Nizhnyaya Tavda,RU,57.6731,66.1725,4.91,97,100,2.19,overcast clouds
324,Dalbandin,PK,28.8947,64.4101,52.86,42,0,6.46,clear sky
325,Quatis,BR,-22.4072,-44.2581,70.07,99,100,1.48,overcast clouds
326,Ovsyanka,RU,55.9575,92.5519,-10.23,91,40,4.07,scattered clouds
327,Gat,IL,31.61,34.7642,47.39,64,97,6.76,overcast clouds
328,Eenhana,NA,-17.4667,16.3333,71.35,90,100,6.38,light rain
329,Saint-Pierre,RE,-21.3393,55.4781,76.68,69,75,6.91,broken clouds
330,Horta,PT,38.5333,-28.6333,58.17,74,46,19.57,scattered clouds
331,Nikolskoye,RU,59.7035,30.7861,26.49,97,100,4.99,light snow
332,Moron,AR,-34.6534,-58.6198,78.98,60,21,1.01,few clouds
333,Fereydun Kenar,IR,36.6864,52.5225,35.91,58,0,4.68,clear sky
334,Oyem,GA,1.5995,11.5793,66.29,96,88,2.51,overcast clouds
335,Hof,DE,50.3167,11.9167,33.93,78,75,9.22,broken clouds
336,Buala,SB,-8.145,159.5921,84.7,72,100,3.51,light rain
337,Port Moresby,PG,-9.4431,147.1797,85.42,70,75,11.5,broken clouds
338,Lavrentiya,RU,65.5833,-171.0,-8.05,93,16,5.41,few clouds
339,Bo Phloi,TH,14.3236,99.5161,83.73,30,13,4.21,few clouds
340,Adrar,MR,20.5022,-10.0711,71.4,13,100,12.41,overcast clouds
341,Benguela,AO,-12.5763,13.4055,74.71,83,100,2.59,overcast clouds
342,Birjand,IR,32.8663,59.2211,23.47,58,0,4.61,clear sky
343,Skjervoy,NO,70.0311,20.9714,27.86,58,100,9.06,light snow
344,Codajas,BR,-3.8367,-62.0569,72.7,97,100,2.53,overcast clouds
345,Hamilton,US,39.1834,-84.5333,29.93,74,0,4.61,clear sky
